fon,borsa_kodu,isin_kod
FİBA PORTFÖY SERBEST FON,FZP,TRYFIBP00112
FİBA PORTFÖY ÇOKLU VARLIK BİRİNCİ DEĞİŞKEN FON,FCV,TRYFIBP00047
FİBA PORTFÖY ÇOKLU VARLIK İKİNCİ DEĞİŞKEN FON,FID,TRYBEUR00025
FİBA PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,FFD,TRYFIBP00104
FİBA PORTFÖY ŞEKERBANK KISA VADELİ BORÇLANMA ARAÇLARI FONU,SKT,TRYSKBK00021
FİBA PORTFÖY ŞEKERBANK PARA PİYASASI FONU,SLF,TRMSE2WWWWW3
GARANTI PORTFÖY 2023 SERBEST(DÖVİZ- ABD DOLARI) FON,GPP,TRYGAPO00268
GARANTI PORTFÖY 2023 SERBEST(DÖVİZ-AVRO) FON,GFF,TRYGAPO00250
GARANTİ PORTFÖY  BORÇLANMA ARAÇLARI FONU,GA1,TRMGA1WWWWW3
GARANTİ PORTFÖY 2021 SERBEST (DÖVİZ-ABD DOLARI) FON,GGV,TRYGAPO00318
GARANTİ PORTFÖY 2022 SERBEST (DÖVİZ-ABD DOLARI) FON,HAG,TRYGAPO00326
GARANTİ PORTFÖY 2024 SERBEST (DÖVİZ-ABD DOLARI) FON,HFF,TRYGAPO00334
GARANTİ PORTFÖY 2025 SERBEST(DÖVİZ ABD DOLARI) FON,HNN,TRYGAPO00342
GARANTİ PORTFÖY ALTIN FONU,GTA,TRYGRAN00027
GARANTİ PORTFÖY ALTINCI SERBEST (DÖVİZ) ÖZEL FON,GGP,TRYGAPO00201
GARANTİ PORTFÖY ARK SERBEST (DÖVİZ) ÖZEL FON,GGB,TRYGAPO00177
GARANTİ PORTFÖY AYDOĞAN SERBEST(DÖVİZ) ÖZEL FON,GGN,TRYGAPO00284
GARANTİ PORTFÖY BEŞİNCİ SERBEST FON,GBN,TRYGAPO00151
GARANTİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,GPB,TRYGAPO00029
GARANTİ PORTFÖY BİRİNCİ KATILIM FONU,GPF,TRYGAPO00011
GARANTİ PORTFÖY BİRİNCİ PARA PİYASASI FONU,GTL,TRYGRAN00530
GARANTİ PORTFÖY BİRİNCİ SERBEST ÖZEL FON,GPL,TRYGAPO00060
GARANTİ PORTFÖY BİST30 ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),GAE,TRMGAEWWWWW7
GARANTİ PORTFÖY DOKUZUNCU SERBEST (DÖVİZ) ÖZEL FON,GDP,TRYGAPO00219
GARANTİ PORTFÖY DÖRDÜNCÜ DEĞİŞKEN FON,TGA,TRYGRAN00076
GARANTİ PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,GDS,TRYGAPO00144
GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU,GPA,TRYGAPO00052
GARANTİ PORTFÖY GM SERBEST (DÖVİZ) ÖZEL FON,GMP,TRYGAPO00169
GARANTİ PORTFÖY GMS SERBEST ÖZEL FON,GGM,TRYGAPO00276
GARANTİ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),GHS,TRMOSKWWWWW0
GARANTİ PORTFÖY ING BANK ÖZEL BANKACILIK VE PLATİNUM DEĞİŞKEN ÖZEL FON,INH,TRYGAPO00102
